{'trials': 20, 'sleeptime': 0.9, 'target_freq': 4812.478834467755, 'theoretical_target_freq': 4812.478834467755}
freq,A,A_std,phi,phi_std
4815.434180245386,1.376966880564879e-07,1.1268589304509803e-08,0.10378288492270113,0.09077598698225312
4815.5347456714235,1.66875159951573e-07,1.6244508289167945e-08,0.2106381581490986,0.07886732887075855
4815.635313197667,1.329376754750521e-07,1.2898787616070202e-08,0.16782651367485385,0.055372507079010376
4815.735882824155,1.5743340652024504e-07,1.2175225894067154e-08,-0.020244589314254168,0.0820113354011391
4815.836454550943,1.5556975164176262e-07,1.3319257438236345e-08,0.27022726226541877,0.06529071310024301
4815.937028378068,1.4354544132994066e-07,1.3265945637971984e-08,0.12680239949924116,0.06938837134092396
4816.037604305575,1.512983107293092e-07,1.4113506244830514e-08,0.151529782154918,0.061923213091063925
4816.138182333508,1.2337214941916268e-07,6.72425738537645e-09,0.2390622734842867,0.10643628055163265
4816.238762461904,1.6989405821967066e-07,1.4808796341450492e-08,0.16279234907756163,0.06740378050314505
4816.339344690819,1.2961329613219347e-07,1.1068860523442143e-08,0.13389725222944934,0.0597646942405892
4816.439929020292,1.5880126546723253e-07,1.1526400318411484e-08,0.19838922499275533,0.06668623888209
4816.540515450365,1.4324100433365718e-07,9.63590856506328e-09,0.265896682199483,0.06679524351555219
4816.641103981084,1.2509750368208469e-07,6.98432019781026e-09,0.32659476481365546,0.1125315662920475
4816.741694612486,1.7444869425748738e-07,1.2384775072357345e-08,0.1664443773427176,0.058978365611770237
4816.842287344625,1.2669282385621839e-07,1.669420316058424e-08,0.037339097017176553,0.08478726754162544
4816.942882177542,1.4840682012672637e-07,1.4958970118082126e-08,0.3107164408939271,0.09043942474670721
4817.0434791112775,1.417638687087611e-07,1.3969619767060837e-08,0.16329738240682773,0.16249261459261627
4817.144078145874,1.475954309023504e-07,1.2430987041963911e-08,0.1520454680821975,0.04361083234473122
4817.244679281383,1.4334730464055142e-07,8.519243664460314e-09,0.22487256802387035,0.06210684380668028
4817.345282517844,1.536033133920635e-07,1.4196869575683783e-08,0.08629221688121008,0.06072000460009901
4817.4458878553005,1.4119633386692092e-07,1.5513857196940087e-08,0.10759777906135741,0.04192051648250872
4817.546495293796,1.8779587243089115e-07,1.693031349077809e-08,0.24339285355022247,0.06692213813312552
4817.647104833372,1.840338890042501e-07,1.6018001900941527e-08,0.10172219678978514,0.06333696424238423
4817.747716474079,1.2938915052710263e-07,1.1474858879033708e-08,0.14099210495965755,0.0494954049478911
4817.848330215958,1.463747231048354e-07,1.3600441970727939e-08,0.10881704951999331,0.06955548176928283
4817.948946059053,1.6278299908485495e-07,1.146013788952846e-08,0.1831998042653161,0.05980346258833091
4818.049564003406,1.4212646871723578e-07,1.0428487162500117e-08,0.33024679307881144,0.08263500498022387
4818.150184049058,1.6303364025801285e-07,1.4866122803577346e-08,0.1241903401104556,0.08967213139340215
4818.250806196062,1.7454570025988684e-07,1.420175785032566e-08,0.23603785661944196,0.08851765683338852
4818.351430444455,1.535717717568302e-07,1.506769876170221e-08,0.1472098546869956,0.05576956100279508
4818.4520567942845,1.4351844099363644e-07,1.255479409380354e-08,0.272300998225154,0.06676905893583121
4818.552685245587,1.475125337743473e-07,1.170481178719255e-08,0.15657459935022355,0.06370289214983377
4818.653315798417,1.5532541153039544e-07,1.1987527962247458e-08,0.3506542482665659,0.10093582800493955
4818.753948452812,1.715495614724842e-07,1.359365285454642e-08,0.2084428728482724,0.07274691447310082
4818.854583208819,1.552139742988008e-07,1.42014474304051e-08,0.12558312904060523,0.047475475060432336
4818.95522006648,1.536078444665501e-07,1.3047279636652494e-08,0.2562361080070927,0.0651083105313225
4819.055859025833,1.5321470215097745e-07,1.1236669979996873e-08,0.25808759233990497,0.0630426408240127
4819.156500086934,1.2687483849575576e-07,1.0960783176114493e-08,0.140256863840765,0.07867404329381339
4819.257143249821,1.4323826169987897e-07,1.5784169894544625e-08,0.19773167718149828,0.08968426278525915
4819.357788514537,1.3971913132378513e-07,1.2203614919618832e-08,0.200001569114518,0.05838604640180017
4819.458435881121,1.5996635859657917e-07,1.1260026903499452e-08,0.17126933813990605,0.07559074380284951
4819.559085349628,1.4609125632249097e-07,1.3977383206659662e-08,0.2634745769909763,0.09011881236863176
4819.659736920096,1.6235449333799303e-07,1.4170424293159974e-08,0.172957956599218,0.06789146016087022
4819.760390592571,1.465499879137568e-07,1.2792773433618137e-08,0.2144977567021102,0.06878345844024161
4819.861046367093,1.7002636744226647e-07,1.4519012319003282e-08,0.16279234907756163,0.06878906578760538
4819.961704243705,1.5153596086045035e-07,1.4425416053098876e-08,0.2553590050042226,0.07615445514427399
4820.062364222457,1.4802357646399448e-07,1.1649078956741535e-08,0.08147760747553097,0.08337771909471287
4820.163026303391,1.4803700437710394e-07,1.514107878430942e-08,0.1079399465171232,0.08209542386006483
4820.26369048655,1.511004070228712e-07,1.3074148151070206e-08,0.13893141682674154,0.10464015506040472
4820.364356771977,1.4721261460442525e-07,1.0194229007946008e-08,0.172957956599218,0.06955233743524174
4820.465025159712,1.5604853371911657e-07,1.396219023669588e-08,0.190131791122024,0.0647086573522889
4820.565695649809,1.4200456286034717e-07,9.89874771585199e-09,0.17126933813990605,0.06086505319137107
4820.666368242305,1.51991067105464e-07,9.079414959517855e-09,0.28110710691644497,0.0684228538801618
4820.7670429372465,1.4037205274700011e-07,1.2836835294560353e-08,0.1534276044143337,0.07913549719520567
4820.867719734671,1.6841593122954265e-07,1.5828888318650092e-08,0.267957370332399,0.0764909913207106
4820.968398634633,1.4823463635362679e-07,1.3041266397685504e-08,0.10172219678978514,0.08037995439522834
